row,element,element_id,name,from_ppc_bus,to_ppc_bus,kv,capacity_mva,x_pu,is_bridge
1480,line,1538,一戸線,1736,1784,66.0,137.18,0.000145,0
1481,line,1539,紫波線,1553,628,66.0,137.18,0.000158,0
1482,line,1540,重吉変電所~新館南変電所線,1585,1583,66.0,68.59,4.4e-05,0
1483,line,1541,重吉線,1585,614,66.0,68.59,7.1e-05,0
1484,line,1542,重吉線,614,615,66.0,68.59,0.000165,0
1485,line,1543,日本製紙線,614,633,66.0,68.59,0.000203,0
1486,line,1544,重吉線,615,616,66.0,68.59,4e-05,0
1487,line,1545,4C4B,615,1513,66.0,68.59,7e-05,1
1488,line,1546,第二蛇田支線,616,1494,66.0,68.59,0.000145,0
1489,line,1547,重吉変電所~新館南変電所線,1584,1582,154.0,266.74,8e-06,0
1490,line,1548,大街道東二丁目変電所~重吉変電所線,1584,1586,154.0,266.74,2.7e-05,0
1491,line,1549,迫町佐沼変電所~登米町寺池変電所線,617,1497,66.0,68.59,0.000387,1
1492,line,1550,東北電力ネットワーク 66.0kV線,617,1495,66.0,68.59,0.000389,0
1493,line,1551,東北電力ネットワーク 66.0kV線,1495,1601,66.0,68.59,0.000373,1
1494,line,1552,迫町佐沼変電所~米谷変電所線,1495,1594,66.0,68.59,0.000892,0
1495,line,1553,米谷変電所~津谷変電所線,618,1588,66.0,68.59,0.001663,0
1496,line,1554,米谷変電所~志津川変電所線,618,1595,66.0,137.18,0.000695,1
1497,line,1555,東北電力ネットワーク 66.0kV線,618,1594,66.0,68.59,0.00025,0
